framework,cell_distance
JAVAML,6.082762530298219
JAVAML,1
JAVAML,5.0990195135927845
JAVAML,15.132745950421556
JAVAML,3.1622776601683795
JAVAML,2
JAVAML,4.123105625617661
JAVAML,16.0312195418814
JAVAML,2
JAVAML,1
JAVAML,3
JAVAML,5
JAVAML,9.055385138137417
JAVAML,15.033296378372908
JAVAML,7
JAVAML,9.055385138137417
JAVAML,10.198039027185569
JAVAML,6
JAVAML,1.4142135623730951
JAVAML,7.280109889280518
JAVAML,2.8284271247461903
JAVAML,4.47213595499958
JAVAML,5
JAVAML,4
JAVAML,2.8284271247461903
JAVAML,2.23606797749979
JAVAML,2.23606797749979
JAVAML,3.605551275463989
JAVAML,2.23606797749979
JAVAML,0
JAVAML,4
JAVAML,10.198039027185569
JAVAML,1.4142135623730951
JAVAML,7
JAVAML,2.23606797749979
JAVAML,2
JAVAML,4.123105625617661
JAVAML,1
JAVAML,1.4142135623730951
JAVAML,27.018512172212592
JAVAML,8
JAVAML,6.082762530298219
JAVAML,7.0710678118654755
JAVAML,1.4142135623730951
JAVAML,30
JAVAML,2.23606797749979
JAVAML,2
JAVAML,2
JAVAML,2.23606797749979
JAVAML,5.0990195135927845
JAVAML,19.026297590440446
JSAT,3
JSAT,1.4142135623730951
JSAT,1
JSAT,5
JSAT,1
JSAT,2.23606797749979
JSAT,4.123105625617661
JSAT,8.06225774829855
JSAT,2.23606797749979
JSAT,3
JSAT,2
JSAT,5
JSAT,6.324555320336759
JSAT,3.1622776601683795
JSAT,2
JSAT,4.123105625617661
JSAT,4.47213595499958
JSAT,10.04987562112089
JSAT,1.4142135623730951
JSAT,2
JSAT,2.8284271247461903
JSAT,6.324555320336759
JSAT,3.1622776601683795
JSAT,0
JSAT,5
JSAT,4
JSAT,3.1622776601683795
JSAT,2.8284271247461903
JSAT,1
JSAT,2.23606797749979
JSAT,4
JSAT,5.385164807134504
JSAT,2.23606797749979
JSAT,2
JSAT,2.23606797749979
JSAT,3.1622776601683795
JSAT,3
JSAT,4.123105625617661
JSAT,3
JSAT,2.23606797749979
JSAT,0
JSAT,5
JSAT,1
JSAT,1
JSAT,2
JSAT,1.4142135623730951
JSAT,2
JSAT,0
JSAT,3
JSAT,3.1622776601683795
JSAT,2.8284271247461903
WEKA,3
WEKA,1.4142135623730951
WEKA,1
WEKA,16
WEKA,3
WEKA,1
WEKA,4.123105625617661
WEKA,15.033296378372908
WEKA,1
WEKA,3
WEKA,1
WEKA,5
WEKA,6.324555320336759
WEKA,3.1622776601683795
WEKA,14
WEKA,4.123105625617661
WEKA,8.246211251235321
WEKA,11.045361017187261
WEKA,5.0990195135927845
WEKA,2
WEKA,3.1622776601683795
WEKA,4.47213595499958
WEKA,3.1622776601683795
WEKA,3.605551275463989
WEKA,3
WEKA,2.23606797749979
WEKA,1.4142135623730951
WEKA,2.8284271247461903
WEKA,2.23606797749979
WEKA,1
WEKA,4
WEKA,4.123105625617661
WEKA,2.23606797749979
WEKA,4
WEKA,2.23606797749979
WEKA,3.1622776601683795
WEKA,1
WEKA,4.123105625617661
WEKA,5
WEKA,3.605551275463989
WEKA,2.8284271247461903
WEKA,8
WEKA,1
WEKA,2.23606797749979
WEKA,2
WEKA,1.4142135623730951
WEKA,2
WEKA,0
WEKA,2
WEKA,0
WEKA,1
