framework,cell_distance
JAVAML,2.2360679775
JAVAML,9.0553851381
JAVAML,7
JAVAML,5.3851648071
JAVAML,4.1231056256
JAVAML,1
JAVAML,13.0384048104
JAVAML,17.0293863659
JAVAML,2.2360679775
JAVAML,1.4142135624
JAVAML,8.2462112512
JAVAML,4.1231056256
JAVAML,5.0990195136
JAVAML,4.1231056256
JAVAML,7
JAVAML,12
JAVAML,6.3245553203
JAVAML,6
JAVAML,4.1231056256
JAVAML,1
JAVAML,3.1622776602
JAVAML,6.0827625303
JAVAML,5
JAVAML,2
JAVAML,3
JAVAML,11.1803398875
JAVAML,1.4142135624
JAVAML,6
JAVAML,2
JAVAML,3.6055512755
JAVAML,1
JAVAML,3
JAVAML,2.2360679775
JAVAML,2
JAVAML,5
JAVAML,7.0710678119
JAVAML,1.4142135624
JAVAML,2.8284271247
JAVAML,4.1231056256
JAVAML,3.1622776602
JAVAML,2
JAVAML,1
JAVAML,1
JAVAML,2
JAVAML,3.1622776602
JAVAML,1.4142135624
JAVAML,2
JAVAML,1
JAVAML,1
JAVAML,3.1622776602
JAVAML,8
JSAT,5.0990195136
JSAT,5.0990195136
JSAT,7
JSAT,5.3851648071
JSAT,4.1231056256
JSAT,1
JSAT,13.0384048104
JSAT,3.1622776602
JSAT,2.2360679775
JSAT,1.4142135624
JSAT,2.2360679775
JSAT,4.1231056256
JSAT,5.0990195136
JSAT,5.0990195136
JSAT,7
JSAT,2.2360679775
JSAT,6.3245553203
JSAT,6
JSAT,8.0622577483
JSAT,1
JSAT,3.1622776602
JSAT,2.2360679775
JSAT,1
JSAT,2
JSAT,3
JSAT,2.2360679775
JSAT,1.4142135624
JSAT,6
JSAT,2
JSAT,4
JSAT,1
JSAT,2.8284271247
JSAT,2.2360679775
JSAT,5.3851648071
JSAT,5
JSAT,7.0710678119
JSAT,1.4142135624
JSAT,2.8284271247
JSAT,4.1231056256
JSAT,3.1622776602
JSAT,2
JSAT,1
JSAT,1
JSAT,2
JSAT,3.1622776602
JSAT,1.4142135624
JSAT,2
JSAT,1
JSAT,1
JSAT,3.1622776602
JSAT,10
WEKA,6.0827625303
WEKA,3.1622776602
WEKA,3.1622776602
WEKA,2
WEKA,7.0710678119
WEKA,13
WEKA,3.1622776602
WEKA,17.0293863659
WEKA,2.8284271247
WEKA,4
WEKA,1
WEKA,0
WEKA,2.2360679775
WEKA,12.0415945788
WEKA,3
WEKA,11.0453610172
WEKA,10.1980390272
WEKA,10
WEKA,2.2360679775
WEKA,7
WEKA,6.3245553203
WEKA,6
WEKA,4.1231056256
WEKA,8.2462112512
WEKA,3
WEKA,9
WEKA,1
WEKA,15.1327459504
WEKA,2
WEKA,8.2462112512
WEKA,4.1231056256
WEKA,4.472135955
WEKA,5.0990195136
WEKA,6
WEKA,6.3245553203
WEKA,7.2801098893
WEKA,7.0710678119
WEKA,8
WEKA,9.0553851381
WEKA,9.2195444573
WEKA,10
WEKA,11
WEKA,11.1803398875
WEKA,8.0622577483
WEKA,12
WEKA,13.0384048104
WEKA,14
WEKA,14.1421356237
WEKA,1
WEKA,1.4142135624
WEKA,2.2360679775
